brand	category	name	imageUrl	id
HITA	shampoo	ヒタ シャンプー	data/products/images/ヒタシャンプー_400ml.png	hita-hita-sh
HITA	treatment	ヒタ トリートメント	data/products/images/ヒタトリートメント_400ml.png	hita-hita-tr
HITA	outbath-oil	ヒタ オイル	data/products/images/ヒタオイル_90ml.png	hita-oil-oil
LOA	out-bath-oil	LOA THE OIL	data/products/images/LOA_THE_OIL_Blanche.jpg	loa-core-oil
SEE/SAW	shampoo	SEE/SAW ヘア&スキャルプシャンプー B	data/products/images/SEE_SAW_ヘア&スキャルプシャンプーB_250ml.jpg	seesaw-balance-sh
SEE/SAW	shampoo	SEE/SAW ヘア&スキャルプシャンプー S	data/products/images/SEE_SAW_ヘア&スキャルプシャンプーB_250ml.jpg	seesaw-smooth-sh
SEE/SAW	shampoo	SEE/SAW ヘア&スキャルプシャンプー T	data/products/images/SEE_SAW_ヘア&スキャルプシャンプーT_250ml.jpg	seesaw-tight-sh
SEE/SAW	treatment	SEE/SAW ヘアトリートメント B	data/products/images/SEE_SAW_ヘアトリートメントB_200ml.jpg	seesaw-balance-tr
SEE/SAW	treatment	SEE/SAW ヘアトリートメント S	data/products/images/SEE_SAW_ヘアトリートメントB_200ml.jpg	seesaw-smooth-tr
SEE/SAW	treatment	SEE/SAW ヘアトリートメント T	data/products/images/SEE_SAW_ヘアトリートメントT_200ml.jpg	seesaw-tight-tr
SEE/SAW	out-bath-oil	SEE/SAW クリアオイル シャープ	data/products/images/SEE_SAW_ヘアメイクオイル_20ml.jpg	seesaw-hairmake-oil
SEE/SAW	out-bath-oil	SEE/SAW クリアオイル フラット	data/products/images/SEE_SAW_ヘアメイクオイル_20ml.jpg	seesaw-hairmake-oil-2
SEE/SAW	styling	SEE/SAW ヘアメイクバーム	data/products/images/SEE_SAW_ヘアメイクバーム_15g.jpg	seesaw-hairmake-balm
TOKIO INKARAMI	shampoo	TOKIO IE INKARAMI HEAD SPA シャンプー	data/products/images/IE_インカラミ_ヘッドスパ_シャンプー_400ml.jpg	tokio-headspa-sh
TOKIO INKARAMI	shampoo	TOKIO IE INKARAMI LIMITED シャンプー	data/products/images/IE_インカラミ_プラチナム_リミテッド_シャンプー_400ml.jpg	tokio-limited-sh
TOKIO INKARAMI	shampoo	TOKIO IE INKARAMI PLATINUM シャンプー	data/products/images/IE_インカラミ_プラチナム_シャンプー_400ml.jpg	tokio-platinum-sh
TOKIO INKARAMI	shampoo	TOKIO IE INKARAMI PREMIUM シャンプー	data/products/images/IE_インカラミ_プレミアム_シャンプー_400ml.jpg	tokio-premium-sh
TOKIO INKARAMI	treatment	TOKIO IE INKARAMI HEAD SPA トリートメント	data/products/images/IE_インカラミ_ヘッドスパ_トリートメント_400g.jpg	tokio-headspa-tr
TOKIO INKARAMI	treatment	TOKIO IE INKARAMI LIMITED トリートメント	data/products/images/IE_インカラミ_プラチナム_リミテッド_トリートメント_400g.jpg	tokio-limited-tr
TOKIO INKARAMI	treatment	TOKIO IE INKARAMI PLATINUM トリートメント	data/products/images/IE_インカラミ_プラチナム_トリートメント_400g.jpg	tokio-platinum-tr
TOKIO INKARAMI	treatment	TOKIO IE INKARAMI PREMIUM トリートメント	data/products/images/IE_インカラミ_プレミアム_トリートメント_400g.jpg	tokio-premium-tr
TOKIO INKARAMI	out-bath-milk	TOKIO IE INKARAMI LIMITED アウトバス	data/products/images/IE_インカラミ_プラチナム_リミテッド_シャンプー_400ml.jpg	tokio-limited-out
TOKIO INKARAMI	out-bath-oil	TOKIO IE OUTKARAMI オイルトリートメント	data/products/images/TOKIO_IE_OUTKARAMI_Oil_Treatment.png	tokio-outkarami-oil
