id,会社名,通称・旧社名,本社所在地,展開エリア,拠点数,規模区分(大/中/小),メガ系列(有/無/系列名),セグメント(A/B/C/D),主要取扱メーカー,TOKIO取扱(○/×/不明),公式URL,問い合わせフォームURL,メールアドレス,電話番号,推奨送信方法(メール/フォーム/電話),優先度(1-3),送信予定日,送信済,返信,備考
HK01,株式会社菊地,キクチ／kikuchi-produce,北海道札幌市豊平区美園3条8丁目4-17,北海道全域（道内美容室の約半数と取引）,6,中,無,C,アリミノ／ルベル／ミルボン／ホーユー／ナプラ／リアル化学／ハホニコ／COTA／ドクタージュニア（取扱メーカー100社超・400ブランド超）,○,https://www.kikuchi-produce.co.jp/,https://www.kikuchi-produce.co.jp/contact/,info@kikuchi-produce.co.jp,011-811-0981,メール,1,,,,公式サイトは本環境からWebFetch不可（egress遮断）のため検索スニペット経由で確認。会社・営業所案内 https://www.kikuchi-produce.co.jp/office/ に本社TEL/FAX011-811-0285/E-Mail記載。拠点：本社・中央・帯広・釧路・旭川・函館営業所。1967年11月設立。代表 菊地大輝。取扱メーカー頁 https://www.kikuchi-produce.co.jp/item/maker/（Dr.Jr.記載あり）。メールアドレスはサイト本文の直接取得ができていないため送信前に要再確認
HK02,株式会社ガモウ北海道,GAMO HOKKAIDO,北海道札幌市中央区北2条西14丁目3-30,北海道全域,10,大,ガモウ,D,要確認（ガモウグループ。公式取扱メーカー頁未取得）,不明,https://gamo-hokkaido.jp/,https://gamo-hokkaido.jp/contact,,011-208-2500,フォーム,1,,,,公式サイト取得不可（egress遮断）。拠点：札幌本社／統括本部（札幌市西区発寒14条2丁目10-9 発寒ビル TEL011-663-2118）／旭川／釧路／函館／帯広／苫小牧／北見／江別（2022年11月開設）／千歳（2025年10月開設）。従業員85名（2026年1月）。EC「ec.gamo-hokkaido.jp」運営、BeautyMeritとシステム連携。検索結果に notoya@gamo-hokkaido.jp の表示あり（個人名アドレスの可能性・ページ本文未確認のため要確認、メール欄は空欄）。FAX011-208-2511。親会社：株式会社ガモウ（東京）拠点一覧 https://www.gamo.co.jp/about/profile/group/gamo-hokkaido/
HK03,株式会社フジシン北海道,フジシン北海道,北海道札幌市豊平区福住1条7丁目1-1,北海道（札幌・函館・道北=カリフアドーニス）,2,小,フジシングループ,C,ロレアルプロフェッショナル／資生堂プロフェッショナル（取扱メーカー頁 http://fujishinhokkaido.com/maker.html 未取得のため一部のみ）,不明,https://fujishinhokkaido.com/,https://fujishinhokkaido.com/contact.html,info@fujishinhokkaido.com,011-857-1713,メール,2,,,,公式サイト取得不可（egress遮断）。会社案内 https://fujishinhokkaido.com/company.html：1982年3月設立、代表 吉本登充、FAX011-857-1714。函館営業所：函館市梁川町5-10 プライム函館EAST8階805 TEL0138-42-1557。2023年6月30日にカリフアドーニス（旭川）株式100%取得。親会社：株式会社フジシン（東京都新宿区住吉町8-12、1956年設立、https://fujishin.co.jp/）。メールは検索スニペット経由確認のため送信前に要再確認
HK04,株式会社きくや美粧堂 札幌支店,きくや美粧堂,北海道札幌市中央区南1条西7丁目1-3 アルファ南1条ビル1階,北海道（全社：全国）,34,大,きくや美粧堂,A,ウエラ／ロレアル／資生堂プロフェッショナル／ミルボン ほか多数（要確認）,不明,https://www.kikuya-bisyodo.co.jp/,要確認,,011-280-2033,電話,2,,,,"公式サイト取得不可（egress遮断）のため問い合わせフォーム有無未確認。札幌支店FAX011-280-2034（フリーダイヤルFAX0120-002-230）。2021年7月1日に札幌営業所から札幌支店へ拡張移転（https://www.kikuya-bisyodo.co.jp/column/札幌支店-開設のお知らせ/）。支店長 仙波卓也。本社：東京都渋谷区恵比寿西1-13-7 KB'Sアーチビル、1956年設立、資本金4,300万円、従業員約400名、代表 荒清志、全国34事業所。EC「MiCOL」運営。支店ページにメール明記なし"
HK05,株式会社光美容化学 札幌支店,光美容化学,北海道札幌市白石区北郷2条1丁目4-6,北海道・東北（全社）,要確認,大,光美容化学,B,ミルボン／資生堂プロフェッショナル／ウエラ／ナプラ／ルベル／モロッカンオイル／ホーユー／日本ロレアル／ケラスターゼ,不明,http://www.hikari-b.co.jp/,http://www.hikari-b.co.jp/contact/,,011-598-8801,フォーム,2,,,,公式サイト取得不可（egress遮断）。札幌支店FAX011-598-8803（〒003-0832）。別に北海道地区本部：札幌市中央区南1条西11丁目1 コンチネンタルビル8階。本社：青森県弘前市代官町21 TEL0172-36-1234。拠点一覧頁あり（秋田支社・HIROSAKI STUDIO等）だが拠点数未取得。取扱メーカー頁 http://www.hikari-b.co.jp/product/。支店ページにメール明記なし
HK06,株式会社アポロ商事 札幌支店,アポロ商事,北海道札幌市豊平区平岸4条7丁目11-21,北海道・東北・関東（全社）,5,中,IBSグループ,A,要確認（公式取扱メーカー頁未取得）,不明,https://www.apolloshoji.co.jp/,https://apolloshoji.co.jp/contact/,,011-817-0211,フォーム,2,,,,公式サイト取得不可（egress遮断）。本社：宮城県仙台市宮城野区中野字神明156-3 TEL022-352-5571（会社概要 https://www.apolloshoji.co.jp/about/）。拠点：仙台本社／札幌支店／盛岡営業所／郡山営業所／東京オフィス。創業40年超。IBS（http://www.i-bs.jp/）グループ会社。支店ページにメール明記なし
HK07,株式会社カリフアドーニス,カリフアドーニス,北海道旭川市忠和4条1丁目1-26,道北（旭川）,1,小,フジシングループ,C,要確認,不明,要確認,無,,0166-61-6011,電話,3,,,,公式サイト見当たらず（電話帳系のみ）。TEL0166-61-6011／FAX0166-61-6662（iタウンページでは0166-61-6662を電話として掲載、要確認）。2023年6月30日フジシン北海道が株式100%取得、社名・法人はそのまま存続（https://mememag.j-mode.co.jp/news/42320/）。親会社：フジシン北海道（HK03）
HK08,株式会社ダイヤ,ダイヤ（dia-beauty）,北海道札幌市南区川沿13条2丁目4-16,北海道（札幌中心）,1,小,無,C,ミルボン／資生堂／フォード／ハーブマジック,不明,https://dia-beauty.co.jp/,要確認,,011-571-2176,電話,3,,,,追加候補。公式サイト取得不可（egress遮断）。会社概要 https://dia-beauty.co.jp/company/：1979年2月7日設立、代表 梅松周平、社保加入12名。メール明記未確認
HK09,株式会社小林かもじ店,小林かもじ店,北海道旭川市5条通7丁目右10,道北・札幌,2,小,無,C,要確認,不明,https://www.kamoji.co.jp/,https://www.kamoji.co.jp/contact.html,,0166-22-6161,フォーム,3,,,,"追加候補。公式サイト取得不可（egress遮断）。1897年創業（かもじ製造販売元）、資本金1,000万円、従業員20名。札幌営業所：札幌市中央区北4条西16丁目 テルウェル第2ビル5F。contact.htmlは「お問い合わせ一覧」ページでフォーム有無は要確認。メール明記未確認"
HK10,ビューティベンダー株式会社,Beauty Vender,北海道札幌市豊平区平岸3条7丁目1-27 平岸スクエアビル10階,北海道（札幌中心）,1,小,無,D,要確認,不明,https://beauty-vender.co.jp/,無,,011-824-7078,電話,3,,,,"追加候補。公式サイト取得不可（egress遮断）。1985年設立、資本金1,000万円、FAX011-824-7108。美容室限定卸仕入サイト（EC）運営、顧客管理ソフト販売等。会社案内 https://beauty-vender.co.jp/wp/company-profile/ によると問合せフォームはメンテナンス中で電話のみ対応"
